Subject_Code,Subject,Semester
OMC304AJuly23,Software Testing and Quality Assurance,3
OMC309July23,Artificial Intelligence and Machine Learning Laboratory,3
OMC308July23,Mobile Application Development Laboratory,3
OMC307July23,Design and Analysis of Algorithms Laboratory,3
OMC306July23,Mini Project,3
OMC305July23,Career Skills,3
OMC303July23,Artificial Intelligence and Machine Learning,3
OMC302July23,Mobile Application Development,3
OMC301July23,Design and Analysis of Algorithms,3
