Subject_Code,Subject,Semester
OMC401,Data Science using R,4
OMC402A,Cryptography,4
OMC402B,Cybersecurity/Information Security,4
OMC402C,University-Approved MOOC or Certification,4
OMC402D,Computer-Aided Simulation and Modelling,4
OMC403A,C# and .NET,4
OMC403B,Advanced Graphics and Visual Computing,4
OMC403C,Soft Computing,4
OMC403D,Internet of Things,4
OMC404A,Personal Finance,4
OMC404B,Digital Marketing,4
OMC405,Internship/Dissertation/Capstone Project,4
OMC406,Data Science Laboratory,4
